chr12	mm10_wgEncodeGencodeBasicVM24	start_codon	116077846	116077848	0.000000	+	.	gene_id "ENSMUST00000011315.9"; transcript_id "ENSMUST00000011315.9"; 
chr12	mm10_wgEncodeGencodeBasicVM24	exon	116102769	116103586	0.000000	-	.	gene_id "ENSMUST00000175871.7"; transcript_id "ENSMUST00000175871.7"; 
chr12	mm10_wgEncodeGencodeBasicVM24	exon	116109644	116110034	0.000000	-	.	gene_id "ENSMUST00000175871.7"; transcript_id "ENSMUST00000175871.7"; 
chr12	mm10_wgEncodeGencodeBasicVM24	exon	116110326	116110488	0.000000	-	.	gene_id "ENSMUST00000175871.7"; transcript_id "ENSMUST00000175871.7"; 
chr12	mm10_wgEncodeGencodeBasicVM24	exon	116138405	116138521	0.000000	-	.	gene_id "ENSMUST00000175871.7"; transcript_id "ENSMUST00000175871.7"; 
chr12	mm10_wgEncodeGencodeBasicVM24	exon	116102792	116103071	0.000000	-	.	gene_id "ENSMUST00000177059.1"; transcript_id "ENSMUST00000177059.1"; 
chr12	mm10_wgEncodeGencodeBasicVM24	exon	116103476	116103586	0.000000	-	.	gene_id "ENSMUST00000177059.1"; transcript_id "ENSMUST00000177059.1"; 
chr12	mm10_wgEncodeGencodeBasicVM24	exon	116110326	116110488	0.000000	-	.	gene_id "ENSMUST00000177059.1"; transcript_id "ENSMUST00000177059.1"; 
chr12	mm10_wgEncodeGencodeBasicVM24	exon	116110571	116111524	0.000000	-	.	gene_id "ENSMUST00000177059.1"; transcript_id "ENSMUST00000177059.1"; 
chr12	mm10_wgEncodeGencodeBasicVM24	exon	116112732	116112929	0.000000	-	.	gene_id "ENSMUST00000177059.1"; transcript_id "ENSMUST00000177059.1"; 
chr12	mm10_wgEncodeGencodeBasicVM24	exon	116138405	116138648	0.000000	-	.	gene_id "ENSMUST00000177059.1"; transcript_id "ENSMUST00000177059.1"; 
